search.str,threat.status.mma2022
Parodia oxycostata,VU
Parodia rechensis,CR
Parodia scopa,EN
Pereskia aureiflora,VU
Pilosocereus aurisetus subsp. aurilanatus,EN
Pilosocereus azulensis,CR
Pilosocereus floccosus subsp. quadricostatus,EN
Pilosocereus fulvilanatus,EN
Pilosocereus glaucochrous,VU
Pilosocereus magnificus,EN
Pilosocereus multicostatus,EN
Pilosocereus ulei,EN
Rhipsalis agudoensis,EN
Rhipsalis cereoides,CR
Rhipsalis flagelliformis,EN
Rhipsalis mesembryanthemoides,EN
Rhipsalis ormindoi,VU
Rhipsalis pacheco-leonis,EN
Rhipsalis paradoxa subsp. septentrionalis,EN
Rhipsalis pentaptera,CR
Rhipsalis triangularis,EN
Schlumbergera kautskyi,EN
Schlumbergera microsphaerica,VU
Schlumbergera opuntioides,VU
Schlumbergera russelliana,EN
Tacinga braunii,VU
Uebelmannia buiningii,CR
Uebelmannia gummifera,VU
Uebelmannia pectinifera,EN
Caraipa balbinensis,CR
Caraipa rodriguesii,VU
Kielmeyera albopunctata,VU
Kielmeyera aureovinosa,EN
Kielmeyera bifaria,EN
Kielmeyera decipiens,CR
Kielmeyera elata,EN
Kielmeyera excelsa,VU
Kielmeyera fatimae,EN
Kielmeyera ferruginosa,CR
Kielmeyera gracilis,EN
Kielmeyera insignis,EN
Kielmeyera itacarensis,EN
Kielmeyera marauensis,EN
Kielmeyera occhioniana,EN
Kielmeyera rizziniana,EN
Kielmeyera rufotomentosa,EN
Kielmeyera rupestris,CR
Kielmeyera sigillata,CR
Boopis bupleuroides,EN
Boopis itatiaiae,EN
Lobelia hilaireana,EN
Lobelia langeana,EN
Lobelia santos-limae,CR
Cinnamodendron axillare,EN
Cinnamodendron occhionianum,CR
Celtis orthacanthos,EN
Colicodendron bahianum,VU
Neocalyptrocalyx nectareus,EN
Valeriana glaziovii Taub.,EN
Valeriana glechomifolia,EN
Valeriana organensis,CR
Valeriana reitziana Borsini,VU
Valeriana tajuvensis,VU
Citronella engleriana,EN
Monteverdia acanthophylla,VU
Monteverdia chapadensis,EN
Monteverdia fugax,EN
Monteverdia horrida,EN
Monteverdia longifolia,VU
Monteverdia megalocarpa,EN
Monteverdia psammophila,EN
Monteverdia rupestris,VU
Monteverdia samydiformis,CR
Peritassa longifolia,VU
Peritassa sadleri,CR
Salacia mosenii,CR
Tontelea corcovadensis,EN
Tontelea lanceolata,EN
Tontelea martiana,EN
Couepia belemii,EN
Couepia bondarii,EN
Couepia carautae,CR
Couepia coarctata,CR
Couepia eriantha,VU
Couepia insignis,EN
Couepia joaquinae,CR
Couepia leitaofilhoi,EN
Couepia longipetiolata,EN
Couepia meridionalis,CR
Couepia oxossii,EN
Couepia parvifolia,EN
Couepia schottii,EN
Exellodendron gracile,EN
Hirtella angustifolia,VU
Hirtella conduplicata,CR
Hirtella floribunda,EN
Hirtella glaziovii,EN
Hirtella juruensis,EN
Hirtella kuhlmannii,EN
Hirtella lancifolia,VU
Hirtella parviunguis,EN
Hirtella prancei,EN
Hirtella santosii,EN
Hymenopus adolphoduckei,EN
Hymenopus conferruminatus,CR
Leptobalanus maguirei,EN
Leptobalanus turbinatus,EN
Licania arianeae,EN
Licania belemii,EN
Licania cymosa,EN
Licania indurata,EN
Licania lamentanda,EN
Licania naviculistipula,EN
Licania tocantina,EN
Moquilea araneosa,VU
Parinari alvimii,EN
Crocanthemum brasiliensis,EN
Clusia aemygdioi,EN
Clusia burchellii,EN
Clusia diamantina,EN
Clusia fragrans,EN
Clusia immersa,EN
Clusia riedeliana,EN
Garcinia albuquerquei,EN
Lorostemon coelhoi,EN
Combretum rupicola,CR
Terminalia acuminata,EN
Dichorisandra acaulis,EN
Dichorisandra gaudichaudiana,EN
Dichorisandra glaziovii,VU
Dichorisandra leucophthalmos,VU
Dichorisandra nana,EN
Dichorisandra neglecta,CR
Dichorisandra odorata,VU
Dichorisandra oxypetala,EN
Dichorisandra picta,CR
Siderasis fuscata,EN
Connarus marginatus,EN
Rourea bahiensis,EN
Rourea cnestidifolia,EN
Rourea laurifolia,VU
Rourea pseudospadicea,EN
Bonamia umbellata,CR
Distimake repens,EN
Evolvulus chrysotrichos,EN
Evolvulus glaziovii,VU
Evolvulus kramerioides,VU
Evolvulus rariflorus,VU
Evolvulus riedelii,EN
Evolvulus stellariifolius,EN
Ipomoea carajasensis,VU
Ipomoea cavalcantei,EN
Ipomoea daturiflora,VU
Ipomoea macedoi,CR
Ipomoea subrevoluta,VU
Jacquemontia cephalantha,VU
Jacquemontia revoluta,EN
Crassula peduncularis,CR
Wilbrandia glaziovii,EN
Lamanonia brasiliensis,EN
Lamanonia ulei,EN
Bulbostylis distichoides,VU
Bulbostylis nesiotis,VU
Bulbostylis smithii,EN
Cyperus appendiculatus var. atlanticus,VU
Hypolytrum amorimii,CR
Hypolytrum bahiense,EN
Hypolytrum glaziovii,CR
Hypolytrum lucennoi,VU
Hypolytrum paraense,EN
Lagenocarpus bracteosus,EN
Rhynchospora pilulifera,CR
Scleria balansae,VU
Trilepis tenuis,CR
Stephanopodium engleri,EN
Stephanopodium estrellense,EN
Stephanopodium gracile,VU
Stephanopodium magnifolium,EN
Stephanopodium sessile,EN
Tapura follii,CR
Tapura wurdackiana,EN
Dicksonia sellowiana,EN
Atractylocarpus brasiliensis,EN
Atractylocarpus longisetus,EN
Campylopus densicoma,EN
Davilla glaziovii,EN
Davilla macrocarpa,VU
Doliocarpus lancifolius,EN
Dioscorea asperula,VU
Dioscorea bradei,EN
Dioscorea campanulata,EN
Dioscorea itatiaiensis,CR
Dioscorea loefgrenii,VU
Dioscorea mantiqueirensis,CR
Dioscorea margarethia,CR
Dioscorea pedalis,VU
Dioscorea pseudomacrocapsa,EN
Dioscorea sanpaulensis,EN
Dioscorea sphaeroidea,CR
Dioscorea trilinguis,EN
Chrysoblastella chilensis,EN
Drosera graminifolia,CR
Drosera graomogolensis,EN
Drosera magnifica,CR
Drosera quartzicola,EN
Elaphoglossum acrocarpum,VU
Elaphoglossum beckeri,CR
Megalastrum wacketii,EN
Polystichum bradei,EN
Diospyros agnitser,EN
Diospyros amabi,EN
Diospyros bullata,VU
Diospyros ketun,VU
Diospyros longistyla,VU
Diospyros mexiae,EN
Diospyros riedelii,EN
Diospyros scottmorii,EN
Diospyros serrana,CR
Diospyros tarim,EN
Diospyros ubaita,EN
Sloanea fasciculata,EN
Sloanea froesii,VU
Sloanea hatschbachii,EN
Sloanea obtusifolia,EN
Sloanea petalata,CR
Sloanea spathulata,VU
Ephedra tweediana,VU
Agarista organensis,CR
Agarista uleana,VU
Gaultheria sleumeriana,CR
Gaylussacia angulata,EN
Gaylussacia caparoensis,EN
Gaylussacia centunculifolia,EN
Gaylussacia harleyi,VU
Gaylussacia oleifolia,VU
Gaylussacia pruinosa,CR
Gaylussacia retivenia,EN
Gaylussacia setosa,CR
Actinocephalus cipoensis,CR
Actinocephalus claussenianus,VU
Comanthera bahiensis,EN
Comanthera brasiliana,CR
Comanthera elegans,EN
Comanthera harleyi,VU
Comanthera mucugensis,EN
Comanthera pignalii,CR
Leiothrix echinocephala,VU
Paepalanthus argyrotrychus,CR
Paepalanthus ater,CR
Paepalanthus capixaba,CR
Paepalanthus echinoides,EN
Paepalanthus farinaceus,CR
Paepalanthus flexuosus,CR
Paepalanthus hydra,EN
Paepalanthus longiciliatus,CR
Paepalanthus macaheensis,EN
Paepalanthus macer,CR
Paepalanthus ovatus,EN
Paepalanthus polygonus,EN
Paepalanthus stellatus,VU
Paepalanthus urbanianus,VU
Paepalanthus velutiphyllus,EN
Syngonanthus incurvifolius,CR
Syngonanthus itambeensis,EN
Syngonanthus laricifolius,VU
Syngonanthus vittatus,EN
Heisteria huberiana,CR
Erythroxylum ayrtonianum,CR
Erythroxylum bezerrae,EN
Erythroxylum catharinense,EN
Erythroxylum cincinnatum,EN
Erythroxylum compressum,EN
Erythroxylum frangulifolium,EN
Erythroxylum leal-costae,CR
Erythroxylum magnoliifolium,EN
Erythroxylum mattos-silvae,EN
Erythroxylum membranaceum,EN
Erythroxylum nelson-rosae,EN
Erythroxylum nitidum,EN
Erythroxylum nordestinum,EN
Erythroxylum occultum,CR
Erythroxylum ovalifolium,VU
Erythroxylum petrae-caballi,VU
Erythroxylum schomburgkii,EN
Erythroxylum sobraleanum,CR
Erythroxylum splendidum,EN
Erythroxylum substriatum,VU
Erythroxylum tianguanum,CR
Erythroxylum umbrosum,EN
Erythroxylum vernicosum,EN
Escallonia obtusissima,VU
Escallonia petrophila,EN
Actinostemon roseliae,EN
Adenophaedra cearensis,CR
Algernonia bahiensis,VU
Algernonia brasiliensis,VU
Algernonia dimitrii,EN
Algernonia kuhlmannii,CR
Astraea cincta,EN
Bernardia crassifolia,EN
Caperonia buettneriacea,VU
Chiropetalum foliosum,EN
Cnidoscolus hamosus,CR
Cnidoscolus magni-gerdtii,CR
Cnidoscolus rupestris,EN
Croton campanulatus,EN
Croton caryophyllus,EN
Croton diasii,EN
Croton hemiargyreus,EN
Croton leptobotryus,VU
Croton priscus,EN
Croton sapiifolius,EN
Croton thomasii,EN
Dalechampia purpurata,EN
Dalechampia riparia,CR
Euphorbia appariciana,EN
Euphorbia attastoma,EN
Euphorbia crossadenia,EN
Euphorbia gymnoclada,VU
Euphorbia holochlorina,CR
Euphorbia sabulicola,CR
Glycydendron espiritosantense,VU
Hevea camargoana,EN
Manihot hahnii,EN
Manihot longiracemosa,EN
Manihot procumbens,VU
Ophthalmoblapton macrophyllum,EN
Ophthalmoblapton pedunculare,VU
Sebastiania pteroclada,CR
Stillingia loranthacea,EN
Aeschynomene fructipendula,EN
Albizia burkartiana,EN
Albizia glabripetala,EN
Aldina heterophylla,VU
Amburana acreana,VU
Andira marauensis,EN
Apuleia leiocarpa,VU
Arachis villosa,EN
Arapatiella emarginata,EN
Bauhinia albicans,EN
Bauhinia glaziovii,CR
Bauhinia integerrima,EN
Bauhinia uberlandiana,CR
Calliandra carrascana,EN
Cassia rubriflora,EN
Centrolobium paraense,EN
Centrosema carajasense,VU
Chamaecrista amabilis,EN
Chamaecrista amorimii,EN
Chamaecrista anamariae,EN
Chamaecrista atroglandulosa,EN
Chamaecrista bracteolata,EN
Chamaecrista catolesensis,VU
Chamaecrista fodinarum,EN
Chamaecrista fulgida,CR
Chamaecrista lagotois,CR
Chamaecrista nuda,EN
Chamaecrista phyllostachya,EN
Chamaecrista stillifera,VU
Chamaecrista subpeltata,EN
Chamaecrista tephrosiifolia,VU
Chamaecrista ulmea,CR
Chamaecrista unijuga,EN
Copaifera majorina,VU
Coursetia vicioides,EN
Ctenodon bradei,EN
Ctenodon lacabuendianus,EN
Cynometra marleneae,EN
Dahlstedtia bahiana,EN
Dahlstedtia glaziovii,EN
Dahlstedtia grandiflora,EN
Dahlstedtia peckoltii,EN
Dalbergia ernest-ulei,EN
Dalbergia glaziovii,EN
Dalbergia nigra,VU
Deguelia hatschbachii,VU
Desmodium craspediferum,EN
Dialium rondoniense,EN
Dicymbe arenicola,EN
Dicymbe puncticulosa,EN
Dimorphandra exaltata,EN
Dimorphandra wilsonii,EN
Dinizia jueirana-facao,CR
Diplotropis rodriguesii,VU
Elizabetha speciosa,VU
Gleditsia amorphoides,VU
Grazielodendron rio-docensis,EN
Harleyodendron unifoliolatum,EN
Harpalyce lanata,EN
Harpalyce parvifolia,EN
Hymenaea parvifolia,VU
Hymenolobium excelsum,VU
Inga aptera,EN
Inga conchifolia,EN
Inga cordistipula,VU
Inga globularis,EN
Inga grazielae,EN
Inga maritima,EN
Inga mendoncaei,EN
Inga pedunculata,EN
Inga platyptera,EN
Inga pleiogyna,EN
Inga praegnans,EN
Inga suborbicularis,EN
Inga unica,EN
Jupunba barnebyana,EN
Lathyrus acutifolius,CR
Lathyrus paraguariensis,VU
Leptolobium araguaiense,EN
Leptolobium glaziovianum,EN
Leptolobium parvifolium,EN
Leptolobium tenuifolium,EN
Leucochloron foederale,EN
Leucochloron limae,EN
Leucochloron minarum,EN
Luetzelburgia amazonica,EN
Luetzelburgia harleyi,CR
Luetzelburgia neurocarpa,CR
Luetzelburgia trialata,EN
Lupinus coriaceus,VU
Lupinus decurrens,EN
Lupinus gibertianus,CR
Lupinus laevigatus,EN
Lupinus russellianus,CR
Machaerium androvillosum,CR
Machaerium firmum,VU
Machaerium legale,CR
Machaerium macaense,EN
Machaerium mucronulatum,EN
Machaerium obovatum,VU
Martiodendron fluminense,EN
Melanoxylon brauna,VU
Mimosa acroconica,CR
Mimosa adamantina,EN
Mimosa afranioi,EN
Mimosa balduinii,EN
Mimosa barretoi,EN
Mimosa bathyrrhena,EN
Mimosa bispiculata,CR
Mimosa bocainae,CR
Mimosa bombycina,EN
Mimosa bracteolaris,VU
Mimosa callidryas,EN
Mimosa catharinensis,EN
Mimosa chrysastra,CR
Mimosa decorticans,EN
Mimosa dominarum,EN
Mimosa emaensis,VU
Mimosa ernestii,CR
Mimosa glazioui,CR
Mimosa hatschbachii,EN
Mimosa heringeri,EN
Mimosa involucrata,EN
Mimosa itatiaiensis,EN
Mimosa kuhnisteroides,EN
Mimosa leprosa,EN
Mimosa lithoreas,EN
Mimosa macedoana,EN
Mimosa mensicola,EN
Mimosa montis-carasae,EN
Mimosa myuros,EN
Mimosa neonitens,EN
Mimosa osmarii,VU
Mimosa paucifolia,VU
Mimosa perplicata,CR
Mimosa psittacina,EN
Mimosa regina,EN
Mimosa rheiptera,EN
Mimosa sevilhae,EN
Mimosa skinneri var. carajarum,CR
Mimosa sobralii,EN
Mimosa strobiliflora,CR
Mimosa suburbana,CR
Mimosa thomista,EN
Mimosa uniceps,EN
Mimosa urticaria,EN
Moldenhawera blanchetiana,VU
Moldenhawera longipedicellata,EN
Moldenhawera luschnathiana,VU
Moldenhawera nutans,EN
Moldenhawera papillanthera,VU
Moldenhawera polysperma,VU
Muellera fernandesii,VU
Muellera filipes,VU
Muellera graciliflora,CR
Muellera grazielae,EN
Muellera laticifera,EN
Muellera nitens,EN
Muellera torrensis,EN
Muellera tozziana,EN
Muellera variabilis,EN
Muellera virgilioides,VU
Myrocarpus leprosus,CR
Neptunia pubescens,VU
Ormosia altimontana,EN
Ormosia lewisii,EN
Ormosia limae,EN
Ormosia minor,VU
Ormosia ruddiana,EN
Ormosia timboensis,CR
Paloue induta,EN
Paramachaerium krukovii,CR
Parapiptadenia ilheusana,CR
Parasenegalia miersii,EN
Parkia bahiae,EN
Paubrasilia echinata,EN
Peltogyne altissima,EN
Peltogyne chrysopis,EN
Peltogyne discolor,VU
Peltogyne excelsa,VU
Peltogyne gracilipes,EN
Peltogyne maranhensis,VU
Peltogyne mattosiana,EN
Peltogyne paradoxa,VU
Platymiscium speciosum,EN
Poecilanthe fluminensis,VU
Poecilanthe itapuana,VU
Pterocarpus monophyllus,EN
Pterodon apparicioi,EN
Sellocharis paradoxa,VU
Senegalia cearensis,VU
Senegalia mikanii,EN
Senegalia ricoae,CR
Senna formosa,VU
Staminodianthus rosae,VU
Swartzia alagoensis,EN
Swartzia alternifoliolata,EN
Swartzia arenophila,EN
Swartzia bahiensis,VU
Swartzia dipetala,VU
Swartzia discocarpa,EN
Swartzia euxylophora,EN
Swartzia glazioviana,VU
Swartzia hilaireana,VU
Swartzia ingens,VU
Swartzia krukovii,EN
Swartzia lamellata,VU
Swartzia lanata,EN
Swartzia linharensis,EN
Swartzia micrantha,EN
Swartzia pinheiroana,EN
Swartzia prolata,EN
Swartzia revoluta,EN
Swartzia riedelii,VU
Swartzia rugosa,VU
Swartzia submontana,CR
Swartzia thomasii,EN
Tabaroa caatingicola,VU
Tachigali acrensis,CR
Tachigali beaurepairei,EN
Tachigali candelabrum,EN
Tachigali denudata,EN
Tachigali duckei,EN
Tachigali prancei,EN
Tachigali spathulipetala,EN
Trischidium limae,EN
Vicia pampicola,CR
Vouacapoua americana,EN
Zollernia cowanii,CR
Zollernia glaziovii,EN
Zollernia magnifica,EN
Mostuea muricata,VU
Aripuana cullmaniorum,EN
Macrocarpaea atlantica,CR
Macrocarpaea dolichophylla,CR
Prepusa alata,CR
Prepusa connata,CR
Prepusa hookeriana,EN
Prepusa viridiflora,EN
Senaea coerulea,EN
Senaea janeirensis,CR
Zygostigma australe,EN
Besleria fluminensis,EN
Besleria macahensis,EN
Besleria melancholica,VU
Codonanthe carnosa,VU
Codonanthe venosa,VU
Goyazia petraea,EN
Nematanthus monanthos,EN
Nematanthus pycnophyllus,EN
Nematanthus serpens,EN
Paliavana werdermannii,VU
Sinningia aghensis,EN
Sinningia araneosa,VU
Sinningia bulbosa,EN
Sinningia carangolensis,EN
Sinningia cardinalis,EN
Sinningia cochlearis,CR
Sinningia defoliata,VU
Sinningia gesneriifolia,CR
Sinningia glazioviana,CR
Sinningia guttata,EN
Sinningia harleyi,EN
Sinningia hatschbachii,EN
Sinningia helleri,CR
Sinningia hirsuta,EN
Sinningia iarae,EN
Sinningia insularis,EN
Sinningia kautskyi,VU
Sinningia lateritia,EN
Sinningia lindleyi,EN
Sinningia lineata,EN
Sinningia micans,EN
Sinningia muscicola,CR
Sinningia piresiana,EN
Sinningia pusilla,EN
Sinningia rupicola,EN
Sinningia striata,VU
Sinningia tuberosa,VU
Sinningia valsuganensis,EN
Sinningia velutina,VU
Sinningia villosa,EN
Sphaerorrhiza burchellii,EN
Vanhouttea fruticulosa,EN
Vanhouttea gardneri,EN
Vanhouttea lanata,EN
Vanhouttea leonii,EN
Vanhouttea pendula,EN
Gunnera herteri,EN
Braunia plicata,VU
Humiriastrum mussunungense,VU
Humiriastrum spiritu-sancti,EN
Hylocarpa heterocarpa,VU
Hypericum mutilum,VU
Vismia parviflora,EN
Neomarica itatiaica,CR
Neomarica northiana,EN
Pseudotrimezia brevistamina,CR
Pseudotrimezia concava,CR
Pseudotrimezia elegans,CR
Pseudotrimezia fistulosa,EN
Pseudotrimezia plicatifolia,EN
Pseudotrimezia subtilis,CR
Pseudotrimezia synandra,EN
Pseudotrimezia tenuissima,EN
Trimezia exillima,EN
Isoetes bradei,EN
Isoetes luetzelburgii,EN
Isoetes ulei,CR
Jungermannia decolor,EN
Cunila incana,EN
Cyanocephalus apertiflorus,VU
Cyanocephalus caprariifolius,EN
Cyanocephalus delicatulus,EN
Cyanocephalus digitatus,EN
Cyanocephalus tagetifolius,EN
Cyanocephalus viaticus,EN
Eriope anamariae,EN
Eriope blanchetii,VU
Eriope cristalinae,CR
Eriope luetzelburgii,VU
Eriope machrisae,EN
Eriope obovata var. gracilis,EN
Hesperozygis ringens,VU
Hypenia aristulata,CR
Hypenia crispata,EN
Hypenia micrantha,EN
Hypenia subrosea,EN
Hyptidendron claussenii,EN
Hyptidendron conspersum,EN
Hyptidendron leucophyllum,VU
Hyptidendron roseum,CR
Hyptis alpestris,EN
Hyptis angustifolia,EN
Hyptis arenaria,VU
Hyptis bahiensis,EN
Hyptis colligata,EN
Hyptis cruciformis,EN
Hyptis frondosa,VU
Hyptis hamatidens,VU
Hyptis imbricatiformis,EN
Hyptis penaeoides,EN
Hyptis rhypidiophylla,EN
Leptohyptis pinheiroi,EN
Martianthus sancti-gabrielii,EN
Medusantha carvalhoi,VU
Oocephalus piranii,EN
Salvia benthamiana,EN
Salvia longibracteolata,CR
Salvia rivularis,VU
Vitex hypoleuca,EN
Vitex martii,VU
Vitex snethlagiana,CR
Vitex vauthieri,EN
Aiouea bracteata,EN
Aniba ferrea,EN
Aniba rosiodora,EN
Aniba santalodora,EN
Beilschmiedia angustifolia,EN
Beilschmiedia fluminensis,EN
Beilschmiedia rigida,EN
Beilschmiedia vestita,CR
Cinnamomum erythropus,EN
Cinnamomum hatschbachii,EN
Cinnamomum quadrangulum,VU
Cryptocarya botelhensis,EN
Cryptocarya citriformis,EN
Cryptocarya sellowiana,CR
Cryptocarya velloziana,EN
Cryptocarya wiedensis,CR
Dicypellium caryophyllaceum,CR
Dicypellium manausense,CR
Endlicheria coriacea,EN
Endlicheria lhotzkyi,VU
Mezilaurus decurrens,EN
Mezilaurus duckei,EN
Mezilaurus glabriantha,CR
Mezilaurus itauba,VU
Mezilaurus micrantha,EN
Mezilaurus microphylla,CR
Mezilaurus navalium,CR
Mezilaurus vanderwerffii,VU
Nectandra barbellata,EN
Nectandra grisea,VU
Nectandra paranaensis,EN
Ocotea adamantina,EN
Ocotea arenicola,VU
Ocotea basicordatifolia,EN
Ocotea beulahiae,VU
Ocotea beyrichii,VU
Ocotea bragai,EN
Ocotea calliscypha,EN
Ocotea catharinensis,VU
Ocotea ciliata,EN
Ocotea citrosmoides,VU
Ocotea cryptocarpa,EN
Ocotea douradensis,EN
Ocotea duplocolorata,CR
Ocotea estrellensis,EN
Ocotea felix,EN
Ocotea fragrantissima,EN
Ocotea grandifructa,CR
Ocotea hypoglauca,CR
Ocotea itatiaiae,EN
Ocotea kostermanniana,EN
Ocotea marcescens,EN
Ocotea marumbiensis,EN
Ocotea mosenii,VU
Ocotea odorata,EN
Ocotea odorifera,EN
Ocotea paranaensis,EN
Ocotea pluridomatiata,EN
Ocotea porosa,EN
Ocotea ramosissima,EN
Ocotea revolutifolia,EN
Ocotea rohweri,EN
Ocotea schwackeana,EN
Ocotea serrana,EN
Ocotea sperata,CR
Ocotea sulcata,VU
Ocotea tabacifolia,EN
Ocotea thinicola,CR
Ocotea vegrandis,VU
Ocotea virgultosa,EN
Persea fusca,EN
Persea glabra,EN
Persea microphylla,VU
Persea obovata,CR
Persea pedunculosa,EN
Pleurothyrium amplifolium,CR
Pleurothyrium prancei,VU
Rhodostemonodaphne anomala,EN
Rhodostemonodaphne capixabensis,EN
Rhodostemonodaphne parvifolia,VU
Rhodostemonodaphne recurva,VU
Urbanodendron bahiense,EN
Williamodendron cinnamomeum,CR
Bertholletia excelsa,VU
Cariniana ianeirensis,EN
Cariniana legalis,EN
Cariniana parvifolia,EN
Couratari asterotricha,EN
Couratari pyramidata,EN
Eschweilera alvimii,EN
Eschweilera complanata,EN
Eschweilera compressa,EN
Eschweilera mattos-silvae,VU
Eschweilera rankiniae,EN
Eschweilera romeu-cardosoi,EN
Eschweilera sphaerocarpa,CR
Eschweilera subcordata,CR
Eschweilera tetrapetala,EN
Gustavia longifolia,EN
Lecythis schwackei,CR
Blepharolejeunea securifolia,EN
Bromeliophila natans,EN
Drepanolejeunea aculeata,EN
Myriocoleopsis fluviatilis,VU
Genlisea lobata,EN
Utricularia geminiloba,VU
Utricularia tridentata,VU
Paracromastigum dusenii,EN
Linum smithii,EN
Aosa uleana,CR
Spigelia amplexicaulis,EN
Spigelia cipoensis,CR
Spigelia flava,VU
Spigelia kuhlmannii,EN
Spigelia lundiana,EN
Spigelia vestita,EN
Strychnos dantaensis,CR
Strychnos jacarepiensis,CR
Diphasium jussiaei,EN
Palhinhaea bradei,EN
Phlegmariurus aqualupianus,EN
Phlegmariurus christii,EN
Phlegmariurus hemleri,CR
Phlegmariurus itambensis,EN
Phlegmariurus martii,EN
Phlegmariurus mollicomus,EN
Phlegmariurus mooreanus,EN
Phlegmariurus nudus,EN
Phlegmariurus regnellii,CR
Phlegmariurus ruber,CR
Phlegmariurus sellowianus,VU
Phlegmariurus taxifolius,EN
Phlegmariurus treitubensis,CR
Cuphea adenophylla,CR
Cuphea arenarioides,VU
Cuphea bahiensis,EN
Cuphea cipoensis,EN
Cuphea cuiabensis,EN
Cuphea glaziovii,EN
Cuphea lindmaniana,EN
Cuphea rubrovirens,CR
Cuphea teleandra,CR
Diplusodon aggregatifolius,EN
Diplusodon argyrophyllus,CR
Diplusodon ericoides,CR
Diplusodon glaziovii,CR
Diplusodon gracilis,CR
Diplusodon hatschbachii,VU
Diplusodon minasensis,EN
Diplusodon orbicularis,VU
Diplusodon ovatus,EN
Diplusodon panniculatus,CR
Diplusodon retroimbricatus,CR
Diplusodon villosissimus,VU
Lafoensia glyptocarpa,EN
Lafoensia nummularifolia,VU
Acmanthera cowanii,VU
Acmanthera fernandesii,CR
Acmanthera latifolia,VU
Acmanthera longifolia,CR
Acmanthera parviflora,EN
Banisteriopsis andersonii,VU
Banisteriopsis arborea,EN
Banisteriopsis basifixa,VU
Banisteriopsis cipoensis,EN
Banisteriopsis hatschbachii,EN
Banisteriopsis hirsuta,EN
Banisteriopsis magdalenensis,CR
Banisteriopsis pseudojanusia,CR
Banisteriopsis sellowiana,VU
Bunchosia itacarensis,CR
Bunchosia pernambucana,EN
Byrsonima alvimii,EN
Byrsonima brachybotrya,VU
Byrsonima cipoensis,EN
Byrsonima fonsecae,EN
Byrsonima frondosa,EN
Byrsonima hirsuta,EN
Byrsonima lanulosa,EN
Byrsonima martiana,CR
Byrsonima microphylla,EN
Byrsonima minarum,EN
Byrsonima onishiana,EN
Byrsonima rodriguesii,EN
Byrsonima souzae,EN
Byrsonima spinensis,EN
Byrsonima vernicosa,VU
Camarea elongata,VU
Camarea humifusa,EN
Camarea linearifolia,CR
Diplopterys sepium,EN
Heladena multiflora,EN
Heteropterys admirabilis,EN
Heteropterys aliciae,CR
Heteropterys bahiensis,CR
Heteropterys brasiliensis,EN
Heteropterys bullata,EN
Heteropterys capixaba,EN
Heteropterys conformis,CR
Heteropterys crinigera,VU
Heteropterys dusenii,VU
Heteropterys fragilis,EN
Heteropterys hatschbachii,CR
Heteropterys marginata,EN
Heteropterys megaptera,EN
Heteropterys oberdanii,VU
Heteropterys sanctorum,CR
Heteropterys sincorensis,EN
Heteropterys ternstroemiifolia,EN
Heteropterys thyrsoidea,EN
Hiraea bullata,VU
Janusia diminuta,CR
Janusia linearifolia,VU
Janusia occhionii,EN
Janusia schwannioides,EN
Lophanthera pendula,EN
Mezia araujoi,EN
Peixotoa adenopoda,EN
Peixotoa andersonii,CR
Peixotoa bahiana,CR
Peixotoa barnebyi,EN
Peixotoa catarinensis,EN
Peixotoa cipoana,EN
Peixotoa psilophylla,VU
Pterandra evansii,VU
Stigmaphyllon affine,VU
Stigmaphyllon bradei,CR
Stigmaphyllon carautae,CR
Stigmaphyllon crenatum,EN
Stigmaphyllon glabrum,CR
Stigmaphyllon harleyi,EN
Stigmaphyllon macedoanum,CR
Stigmaphyllon matogrossense,CR
Stigmaphyllon vitifolium,CR
Thryallis laburnum,VU
Thryallis parviflora,EN
Abutilon anodoides,EN
Abutilon esculentum,EN
Abutilon macrophyllum,CR
Abutilon nigricans,CR
Apeiba trombetensis,CR
Bastardiopsis grewiifolia,CR
Callianthe bezerrae,EN
Callianthe latipetala,EN
Callianthe sellowiana,EN
Calyculogygas uruguayensis,EN
Calyptraemalva catharinensis,EN
Catostemma albuquerquei,EN
Ceiba crispiflora,EN
Ceiba rubriflora,EN
Christiana macrodon,EN
Eriotheca bahiensis,EN
Eriotheca dolichopoda,VU
Eriotheca longipedicellata,VU
Eriotheca longipes,EN
Eriotheca parvifolia,EN
Eriotheca saxicola,CR
Gaya gaudichaudiana,EN
Gossypium mustelinum,EN
Hibiscus peterianus,EN
Hochreutinera hasslerana,EN
Mollia nitida,VU
Monteiroa smithii,EN
Pachira calophylla,EN
Pachira moreirae,CR
Pachira tocantina,EN
Pavonia almasana,EN
Pavonia cauliflora,CR
Pavonia ciliata,CR
Pavonia crassipedicellata,EN
Pavonia crispa,CR
Pavonia ducke-limae,CR
Pavonia gerleniae,CR
Pavonia goetheoides,EN
Pavonia grazielae,VU
Pavonia hatschbachii,EN
Pavonia macrobracteolata,CR
Pavonia morii,EN
Pavonia sancti,CR
Pavonia semiserrata,EN
Pavonia spectabilis,CR
Pavonia spiciformis,EN
Pavonia stipularis,CR
Pseudobombax calcicola,EN
Pseudobombax petropolitanum,EN
Quararibea angustifolia,EN
Waltheria polyantha,CR
Goeppertia dorothyae,CR
Goeppertia fatimae,VU
Goeppertia reginae,CR
Goeppertia sphaerocephala,EN
