"threat.status.cnc","search.str"
"EN","Calyculogygas uruguayensis"
"EN","Calyptraemalva catharinensis"
"LC","Camarea affinis"
"LC","Camarea axillaris"
"VU","Camarea elongata"
"LC","Camarea ericoides"
"LC","Camarea hirsuta"
"EN","Camarea humifusa"
"CR","Camarea linearifolia"
"EN","Cambajuva ulei"
"VU","Cambessedesia atropurpurea"
"VU","Cambessedesia cambessedesioides"
"LC","Cambessedesia eichleri"
"DD","Cambessedesia glaziovii"
"EN","Cambessedesia gracilis"
"EN","Cambessedesia hermogenesii"
"LC","Cambessedesia hilariana"
"EN","Cambessedesia pityrophylla"
"EN","Cambessedesia salviifolia"
"VU","Cambessedesia semidecandra"
"DD","Cambessedesia striatella"
"VU","Cambessedesia weddellii"
"VU","Cambessedesia wurdackii"
"LC","Campomanesia aromatica"
"CR","Campomanesia espiritosantensis"
"LC","Campomanesia eugenioides"
"EN","Campomanesia hirsuta"
"LC","Campomanesia ilhoensis"
"LC","Campomanesia laurifolia"
"DD","Campomanesia lundiana"
"VU","Campomanesia macrobracteolata"
"LC","Campomanesia neriiflora"
"LC","Campomanesia phaea"
"EN","Campomanesia prosthecesepala"
"LC","Campomanesia pubescens"
"VU","Campomanesia reitziana"
"LC","Campomanesia rufa"
"LC","Campomanesia schlechtendaliana"
"LC","Campomanesia sessiliflora"
"LC","Campomanesia xanthocarpa"
"VU","Campuloclinium parvulum"
"LC","Campuloclinium riedelii"
"LC","Campylocentrum crassirhizum"
"LC","Campylocentrum densiflorum"
"LC","Campylocentrum neglectum"
"LC","Campylocentrum parahybunense"
"EN","Campylocentrum pernambucense"
"LC","Campyloneurum decurrens"
"EN","Campylopus densicoma"
"LC","Canastra aristella"
"CR","Canastra lanceolata"
"VU","Canistropsis albiflora"
"CR","Canistropsis elata"
"LC","Canistropsis microps"
"EN","Canistrum alagoanum"
"EN","Canistrum aurantiacum"
"EN","Canistrum camacaense"
"CR","Canistrum fosterianum"
"EN","Canistrum guzmanioides"
"EN","Canistrum montanum"
"VU","Canistrum pickelii"
"EN","Canistrum triangulare"
"LC","Cantinoa althaeifolia"
"LC","Capanemia adelaidae"
"LC","Capanemia carinata"
"LC","Capanemia micromera"
"LC","Capanemia superflua"
"VU","Caperonia buettneriacea"
"LC","Caperonia palustris"
"VU","Carapichea ipecacuanha"
"LC","Cardiospermum corindum"
"EN","Cariniana ianeirensis"
"EN","Cariniana legalis"
"EN","Cariniana parvifolia"
"DD","Cariniana penduliflora"
"LC","Carolus chlorocarpus"
"LC","Caryocar brasiliense"
"LC","Caryocar coriaceum"
"LC","Caryocar edule"
"LC","Casearia gossypiosperma"
"LC","Casearia lasiophylla"
"VU","Casearia paranaensis"
"LC","Casearia pauciflora"
"EN","Castela tweedii"
"LC","Castelnavia multipartita"
"NT","Catasetum atratum"
"LC","Catasetum cernuum"
"LC","Catasetum fimbriatum"
"EN","Catasetum mattosianum"
"LC","Catasetum purum"
"NT","Catasetum uncatum"
"CR","Catolesia mentiens"
"VU","Cattleya aclandiae"
"CR","Cattleya alaorii"
"NT","Cattleya amethystoglossa"
"NT","Cattleya bicolor"
"EN","Cattleya briegeri"
"EN","Cattleya caulescens"
"LC","Cattleya cernua"
"LC","Cattleya cinnabarina"
"LC","Cattleya coccinea"
"VU","Cattleya crispa"
"NT","Cattleya crispata"
"EN","Cattleya dormaniana"
"CR","Cattleya endsfeldzii"
"EN","Cattleya ghillanyi"
"CR","Cattleya gloedeniana"
"VU","Cattleya guttata"
"VU","Cattleya harpophylla"
"VU","Cattleya harrisoniana"
"EN","Cattleya hoehnei"
"VU","Cattleya intermedia"
"EN","Cattleya jongheana"
"CR","Cattleya kautskyana"
"VU","Cattleya labiata"
"EN","Cattleya lobata"
"CR","Cattleya milleri"
"CR","Cattleya munchowiana"
"CR","Cattleya neokautskyi"
"NT","Cattleya nobilior"
"VU","Cattleya perrinii"
"CR","Cattleya porphyroglossa"
"VU","Cattleya pumila"
"VU","Cattleya purpurata"
"EN","Cattleya pygmaea"
"EN","Cattleya schilleriana"
"EN","Cattleya sincorana"
"EN","Cattleya tenebrosa"
"EN","Cattleya tenuis"
"VU","Cattleya tigrina"
"VU","Cattleya velutina"
"LC","Cattleya virens"
"VU","Cattleya walkeriana"
"VU","Cattleya warneri"
"EN","Cattleya xanthina"
"LC","Cavanillesia umbellata"
"LC","Cayaponia bonariensis"
"LC","Cayaponia espelina"
"DD","Cayaponia pedata"
"DD","Cayaponia rugosa"
"LC","Cayaponia trilobata"
"VU","Cedrela fissilis"
"EN","Cedrela lilloi"
"VU","Cedrela odorata"
"LC","Ceiba jasminodora"
"LC","Celosia grandifolia"
"LC","Celtis iguanaea"
"CR","Centroglossa castellensis"
"LC","Centroglossa macroceras"
"LC","Centroglossa tripollinica"
"EN","Centrolobium paraense"
"LC","Centrolobium sclerophyllum"
"LC","Centrolobium tomentosum"
"LC","Centrosema bracteosum"
"VU","Centrosema carajasense"
"DD","Centrosema jaraguaense"
"LC","Centrosema pubescens"
"LC","Centrosema sagittatum"
"DD","Centrosema teresae"
"VU","Ceradenia capillaris"
"EN","Ceradenia glaziovii"
"CR","Ceradenia warmingii"
"LC","Ceratosanthes hilariana"
"VU","Cereus mirabella"
"LC","Cerradicola decumbens"
"LC","Cestrum tubulosum"
"DD","Chaetostoma cupressinum"
"NT","Chaetostoma fastigiatum"
"VU","Chaetostoma flavum"
"CR","Chaetostoma inerme"
"EN","Chaetostoma scoparium"
"LC","Chaetostoma selagineum"
"NT","Chaetostoma stenocladon"
"EN","Chamaecrista altoana"
"EN","Chamaecrista anamariae"
"DD","Chamaecrista aristata"
"DD","Chamaecrista astrochiton"
"EN","Chamaecrista atroglandulosa"
"LC","Chamaecrista belemii"
"DD","Chamaecrista brevicalyx var. elliptica"
"DD","Chamaecrista caiapo"
"DD","Chamaecrista caracensis"
"DD","Chamaecrista catapodia"
"DD","Chamaecrista catiarae"
"VU","Chamaecrista catolesensis"
"DD","Chamaecrista choriophylla"
"VU","Chamaecrista coradinii"
"CR","Chamaecrista coriacea"
"DD","Chamaecrista deltoidea"
"DD","Chamaecrista dentata"
"NT","Chamaecrista dumalis"
"EN","Chamaecrista ericifolia"
"VU","Chamaecrista fodinarum"
"DD","Chamaecrista fuscescens"
"DD","Chamaecrista geraldoi"
"DD","Chamaecrista gumminans"
"EN","Chamaecrista gymnothyrsa"
"EN","Chamaecrista hatschbachii"
"CR","Chamaecrista itabiritoana"
"CR","Chamaecrista lagotois"
"VU","Chamaecrista lavradioides"
"DD","Chamaecrista leucopilis"
"LC","Chamaecrista linearifolia"
"EN","Chamaecrista macedoi"
"VU","Chamaecrista multipennis"
"VU","Chamaecrista ochrosperma"
"DD","Chamaecrista pachyclada"
"EN","Chamaecrista phyllostachya"
"DD","Chamaecrista pilicarpa"
"DD","Chamaecrista polymorpha"
"DD","Chamaecrista psoraleopsis"
"LC","Chamaecrista semaphora"
"EN","Chamaecrista simplifacta"
"VU","Chamaecrista stillifera"
"DD","Chamaecrista strictifolia"
"VU","Chamaecrista tephrosiifolia"
"LC","Chamaecrista trachycarpa"
"CR","Chamaecrista ulmea"
"EN","Chamaecrista vauthieri"
"DD","Chamaecrista virginis"
"LC","Chamaeranthemum beyrichii"
"LC","Chamissoa acuminata"
"DD","Chamissoa acuminata var. maximilianii"
"LC","Chamissoa altissima"
"CR","Chaptalia chapadensis"
"VU","Chaptalia cordifolia"
"CR","Chaptalia hermogenis"
"LC","Chaptalia martii"
"EN","Chascolytrum brasilense"
"CR","Chascolytrum bulbosum"
"EN","Chascolytrum itatiaiae"
"CR","Chascolytrum parodianum"
"EN","Chascolytrum scabrum"
"CR","Chaubardia gehrtiana"
"LC","Chaubardia surinamensis"
"NT","Cheilanthes goyazensis"
"EN","Cheilanthes incisa"
"EN","Cheilanthes juergensii"
"EN","Cheilanthes regnelliana"
"LC","Cheiroglossa palmata"
"CR","Chiococca insularis"
"LC","Chionanthus filiformis"
"CR","Chionanthus fluminensis"
"NT","Chionanthus micranthus"
"VU","Chionanthus subsessilis"
"CR","Chionanthus tenuis"
"VU","Chionolaena lychnophorioides"
"EN","Chiropetalum foliosum"
"VU","Chiropetalum tricoccum"
"EN","Chloraea membranacea"
"DD","Chloroleucon extortum"
"NT","Chloroleucon tortum"
"CR","Chomelia brasiliana"
"DD","Chondrodendron platiphyllum"
"EN","Chresta souzae"
"LC","Chresta sphaerocephala"
"EN","Chromolaena arrayana"
"LC","Chromolaena barbacensis"
"EN","Chromolaena costatipes"
"LC","Chromolaena elliptica"
"DD","Chromolaena latisquamulosa"
"EN","Chromolaena paraguariensis"
"EN","Chromolaena rhinanthacea"
"LC","Chromolucuma rubriflora"
"VU","Chronopappus bifrons"
"EN","Chrysoblastella chilensis"
"EN","Chrysolaena dusenii"
"VU","Chrysolaena nicolackii"
"DD","Chrysophyllum acreanum"
"LC","Chrysophyllum arenarium"
"DD","Chrysophyllum bombycinum"
"DD","Chrysophyllum durifructum"
"LC","Chrysophyllum flexuosum"
"EN","Chrysophyllum imperiale"
"LC","Chrysophyllum inornatum"
"VU","Chrysophyllum januariense"
"DD","Chrysophyllum ovale"
"DD","Chrysophyllum paranaense"
"NT","Chrysophyllum splendens"
"DD","Chrysophyllum subspinosum"
"DD","Chrysophyllum superbum"
"NT","Chrysophyllum viride"
"EN","Chusquea attenuata"
"CR","Chusquea baculifera"
"EN","Chusquea erecta"
"EN","Chusquea heterophylla"
"LC","Chusquea pinifolia"
"EN","Chusquea pulchella"
"CR","Chusquea tenuiglumis"
"DD","Chytroglossa paulensis"
"DD","Cienfuegosia drummondii"
"DD","Cienfuegosia sulfurea"
"EN","Cinnamomum erythropus"
"VU","Cinnamomum hatschbachii"
"LC","Cinnamomum haussknechtii"
"VU","Cinnamomum quadrangulum"
"LC","Cinnamomum stenophyllum"
"DD","Cinnamomum taubertianum"
"NT","Cinnamomum tomentulosum"
"LC","Cinnamomum triplinerve"
"VU","Cipocereus bradei"
"EN","Cipocereus crassisepalus"
"EN","Cipocereus laniflorus"
"VU","Cipocereus minensis"
"NT","Cipocereus pleurocarpus"
"CR","Cipocereus pusilliflorus"
"LC","Cirrhaea dependens"
"EN","Cirrhaea fuscolutea"
"CR","Cirrhaea loddigesii"
"VU","Cirrhaea longiracemosa"
"LC","Cissampelos pareira"
"NT","Cissus acreensis"
"EN","Cissus apendiculata"
"LC","Cissus blanchetiana"
"LC","Cissus coccinea"
"VU","Cissus inundata"
"NT","Cissus nobilis"
"NT","Cissus paucinervia"
"LC","Cissus pulcherrima"
"NT","Cissus serroniana"
"LC","Cissus stipulata"
"DD","Cissus trianae"
"EN","Citharexylum obtusifolium"
"EN","Cleistes aphylla"
"LC","Cleistes exilis"
"LC","Cleistes paranaensis"
"LC","Cleistes ramboi"
"LC","Cleistes rodriguesii"
"LC","Cleistes tenuis"
"LC","Clematis campestris"
"LC","Clethra scabra"
"LC","Clethra uleana"
"LC","Clidemia rubra"
"LC","Cliococca selaginoides"
"LC","Clitoria densiflora"
"NT","Clitoria epetiolata"
"LC","Clitoria laurifolia"
"EN","Clusia aemygdioi"
"LC","Clusia criuva"
"LC","Clusia organensis"
"EN","Coccoloba cereifera"
"LC","Cochlospermum regium"
"VU","Codonanthe carnosa"
"LC","Codonanthe devosiana"
"LC","Codonanthe gracilis"
"VU","Codonanthe venosa"
"LC","Codonanthopsis uleana"
"CR","Codonorchis canisioi"
"EN","Colanthelia macrostachya"
"VU","Coleocephalocereus buxbaumianus subsp. flavisetus"
"EN","Coleocephalocereus decumbens"
"EN","Coleocephalocereus purpureus"
"LC","Collaea speciosa"
"EN","Colletia exserta"
"EN","Colletia paradoxa"
"EN","Cololobus longiangustatus"
"EN","Cololobus rupestris"
"LC","Colubrina glandulosa"
"LC","Colubrina retusa"
"DD","Columnea sanguinea"
"EN","Comanthera bahiensis"
"CR","Comanthera brasiliana"
"NT","Comanthera cipoensis"
"VU","Comanthera circinnata"
"VU","Comanthera curralensis"
"EN","Comanthera elegans"
"EN","Comanthera floccosa"
"VU","Comanthera harleyi"
"VU","Comanthera hatschbachii"
"DD","Comanthera magnifica"
"EN","Comanthera mucugensis"
"CR","Comanthera pignalii"
"DD","Comanthera suberosa"
"CR","Combretum rupicola"
"DD","Comparettia falcata var. paulensis"
"CR","Conchocarpus bellus"
"CR","Conchocarpus cauliflorus"
"EN","Conchocarpus coeruleus"
"CR","Conchocarpus marginatus"
"EN","Condalia buxifolia"
"LC","Connarus rostratus"
"LC","Conocliniopsis prasiifolia"
"CR","Constantia cipoensis"
"DD","Constantia cristinae"
"DD","Constantia microscopica"
"DD","Constantia rupestris"
"DD","Convolvulus hasslerianus"
"LC","Coppensia doniana"
"LC","Cordia silvestris"
"LC","Cordia trichoclada"
"LC","Coryanthes speciosa"
"LC","Corymborkis flava"
"VU","Couepia belemii"
"EN","Couepia carautae"
"CR","Couepia joaquinae"
"VU","Couepia leitaofilhoi"
"CR","Couepia meridionalis"
"LC","Couepia monteclarensis"
"EN","Couepia schottii"
"EN","Couratari asterotricha"
"LC","Couratari atrovinosa"
"LC","Couratari guianensis"
"DD","Couratari longipedicellata"
"DD","Couratari prancei"
"EN","Couratari pyramidata"
"LC","Couratari tauari"
"LC","Couroupita guianensis"
"LC","Coursetia rostrata"
"NT","Coussapoa curranii"
"DD","Coussapoa floccosa"
"EN","Coussarea bocainae"
"LC","Coussarea hydrangeifolia"
"LC","Coussarea nodosa"
"VU","Cranfillia caudata"
"LC","Cranichis candida"
"LC","Cranichis muscosa"
"CR","Crassula peduncularis"
"NT","Cratylia bahiensis"
"LC","Cratylia intermedia"
"LC","Cratylia isopetala"
"LC","Crepinella varisiana"
"EN","Crocanthemum brasiliensis"
"NT","Crotalaria goiasensis"
"CR","Crotalaria irwinii"
"LC","Crotalaria nitens"
"LC","Crotalaria otoptera"
"NT","Crotalaria rufipila"
"LC","Crotalaria subdecurrens"
"DD","Croton arlineae"
"LC","Croton compressus"
"DD","Croton glechomifolius"
"LC","Croton hirtus"
"VU","Croton leptobotryus"
"DD","Croton luetzelburgii"
"LC","Croton serratifolius"
"LC","Croton sphaerogynus"
"LC","Crumenaria choretroides"
"LC","Crumenaria polygaloides"
"NT","Cryptanthus beuckeri"
"EN","Cryptanthus capitatus"
"EN","Cryptanthus coriaceus"
"DD","Cryptanthus correia-araujoi"
"EN","Cryptanthus dorothyae"
"DD","Cryptanthus grazielae"
"DD","Cryptanthus lutherianus"
"EN","Cryptanthus maritimus"
"EN","Cryptanthus minarum"
"LC","Cryptochloa capillata"
"LC","Ctenitis anniesii"
"LC","Ctenitis eriocaulis"
"DD","Ctenitis fenestralis"
"LC","Ctenium brevispicatum"
"DD","Ctenium cirrosum"
"EN","Ctenodon graminoides"
"EN","Ctenodon lacabuendianus"
"VU","Ctenodon simplicifolius"
"NT","Culcita coniifolia"
"VU","Cupania concolor"
"VU","Cupania furfuracea"
"CR","Cuphea adenophylla"
"DD","Cuphea anamariae"
"VU","Cuphea arenarioides"
"EN","Cuphea bahiensis"
"EN","Cuphea cipoensis"
"EN","Cuphea cuiabensis"
"EN","Cuphea cunninghamiifolia"
"LC","Cuphea disperma"
"NT","Cuphea glareosa"
"EN","Cuphea glaziovii"
"LC","Cuphea glutinosa"
"LC","Cuphea linarioides"
"EN","Cuphea lindmaniana"
"DD","Cuphea lucens"
"LC","Cuphea lutescens"
"LC","Cuphea melvilla"
"DD","Cuphea potamophila"
"LC","Cuphea repens"
"CR","Cuphea rubrovirens"
"VU","Cuphea sclerophylla"
"DD","Cuphea sincorana"
"LC","Cuphea strigulosa"
"CR","Cuphea teleandra"
"DD","Cuphea xanthopetala"
"LC","Curculigo scorzonerifolia"
"LC","Curtia tenuifolia"
"NT","Cuscuta obtusiflora"
"LC","Cyanaeorchis arundinae"
"VU","Cyanocephalus apertiflorus"
"DD","Cyanocephalus bombycinus"
"EN","Cyanocephalus caprariifolius"
"DD","Cyanocephalus coriaceus"
"EN","Cyanocephalus delicatulus"
"EN","Cyanocephalus digitatus"
"EN","Cyanocephalus tagetifolius"
"NT","Cyanocephalus tenuifolius"
"EN","Cyanocephalus viaticus"
"LC","Cyathea corcovadensis"
"LC","Cyathea glaziovii"
"DD","Cyathea poeppigii"
"LC","Cyathea pungens"
"LC","Cyathea uleana"
"LC","Cybianthus densicomus"
"EN","Cyclopogon dutrae"
"EN","Cycnoches pentadactylum"
"LC","Cylindrocolea rhizantha"
"LC","Cymbocarpa refracta"
"LC","Cymbopetalum brasiliense"
"EN","Cyperus almensis"
"VU","Cyperus appendiculatus var. atlanticus"
"LC","Cyperus flavescens"
"LC","Cyperus giganteus"
"LC","Cyperus rotundus"
"LC","Cyrtocarpa caatingae"
"LC","Cyrtopodium blanchetii"
"LC","Cyrtopodium braemii"
"LC","Cyrtopodium brandonianum"
"VU","Cyrtopodium caiapoense"
"LC","Cyrtopodium dusenii"
"LC","Cyrtopodium flavum"
"LC","Cyrtopodium fowliei"
"LC","Cyrtopodium gigas"
"EN","Cyrtopodium hatschbachii"
"LC","Cyrtopodium holstii"
"CR","Cyrtopodium lamellaticallosum"
"CR","Cyrtopodium latifolium"
"CR","Cyrtopodium linearifolium"
"VU","Cyrtopodium lissochiloides"
"LC","Cyrtopodium pallidum"
"VU","Cyrtopodium palmifrons"
"LC","Cyrtopodium paludicolum"
"LC","Cyrtopodium parviflorum"
"EN","Cyrtopodium poecilum var. roseum"
"VU","Cyrtopodium triste"
"EN","Dacryodes edilsonii"
"DD","Dahlstedtia muehlbergiana"
"VU","Dalbergia elegans"
"VU","Dalbergia nigra"
"LC","Dalechampia glechomifolia"
"NT","Dalechampia leandrii"
"EN","Dalechampia purpurata"
"CR","Dalechampia riparia"
"LC","Dalechampia weddelliana"
"EN","Danthonia cirrata"
"LC","Dasyanthina serrata"
"LC","Dasycondylus resinosus"
"DD","Dasyphyllum lanceolatum"
"NT","Dasyphyllum reticulatum"
"EN","Dasyphyllum retinens"
"VU","Dasyphyllum trichophyllum"
"CR","Davilla glaziovii"
"VU","Davilla macrocarpa"
"LC","Davilla nitida"
"LC","Declieuxia cordigera"
"LC","Declieuxia fruticosa"
"LC","Declieuxia oenanthoides"
"LC","Dendropanax cuneatus"
"VU","Dendrophorbium catharinense"
"EN","Dendrophorbium paranense"
"LC","Dendrophorbium pluricephalum"
"CR","Dendrophthora warmingii"
"EN","Deschampsia cespitosa"
"EN","Desmodium craspediferum"
"EN","Desmodium glabrescens"
"EN","Desmodium juruenense"
"LC","Desmodium procumbens"
"LC","Desmodium venosum"
"VU","Deuterocohnia meziana"
"EN","Diandrolyra tatianae"
"LC","Dichaea anchorifera"
"VU","Dichaea mosenii"
"NT","Dichanthelium aequivaginatum"
"NT","Dichanthelium assurgens"
"DD","Dichanthelium congestum"
"DD","Dichanthelium sendulskyae"
"LC","Dichanthelium surrectum"
"EN","Dichorisandra acaulis"
"VU","Dichorisandra glaziovii"
"VU","Dichorisandra leucophthalmos"
"CR","Dichorisandra neglecta"
"LC","Dichorisandra perforans"
"EN","Dicksonia sellowiana"
"LC","Dicliptera squarrosa"
"LC","Dictyostega orobanchoides"
"CR","Dicypellium caryophyllaceum"
"DD","Didymoglossum kapplerianum"
"LC","Didymoglossum ovale"
"EN","Didymopanax acuminatus"
"CR","Didymopanax auratus"
"CR","Didymopanax botumirimensis"
"LC","Didymopanax calvus"
"CR","Didymopanax cephalanthus"
"EN","Didymopanax fruticosus"
"EN","Didymopanax gardneri"
"EN","Didymopanax glaziovii"
"EN","Didymopanax lucumoides"
"LC","Dieffenbachia aglaonematifolia"
"DD","Digitaria chaseae"
"LC","Digitaria corynotricha"
"EN","Digitaria neesiana"
"EN","Digitaria pampinosa"
"LC","Dilodendron bipinnatum"
"LC","Dimerandra emarginata"
"EN","Dimerostemma annuum"
"NT","Dimerostemma apense"
"LC","Dimerostemma arnottii"
"DD","Dimerostemma bahiense"
"DD","Dimerostemma bishopii"
"EN","Dimerostemma episcopale"
"VU","Dimerostemma grazielae"
"EN","Dimerostemma myrtifolium"
"CR","Dimorphandra wilsonii"
"LC","Dioclea burkartii"
"DD","Diodia macrophylla"
"DD","Dioscorea aesculifolia"
"VU","Dioscorea asperula"
"LC","Dioscorea campestris"
"LC","Dioscorea grandiflora"
"LC","Dioscorea kunthiana"
"VU","Dioscorea loefgrenii"
"CR","Dioscorea mantiqueirensis"
"LC","Dioscorea mollis"
"LC","Dioscorea orthogoneura"
"EN","Dioscorea pseudomacrocapsa"
"LC","Dioscorea rumicoides"
"EN","Dioscorea sanpaulensis"
"LC","Dioscorea stegelmanniana"
"LC","Dioscorea trifida"
"EN","Dioscorea trilinguis"
"NT","Diospyros gaultheriifolia"
"LC","Diospyros inconstans"
"LC","Diospyros lasiocalyx"
"EN","Diospyros mexiae"
"EN","Diphasium jussiaei"
"NT","Diplopterys amplectens"
"NT","Diplopterys cachimbensis"
"NT","Diplopterys patula"
"EN","Diplopterys sepium"
"LC","Diplopterys virgultosa"
"EN","Diplusodon adpressipilus"
"EN","Diplusodon aggregatifolius"
"EN","Diplusodon alatus"
"DD","Diplusodon appendiculosus"
"EN","Diplusodon argenteus"
"CR","Diplusodon argyrophyllus"
"EN","Diplusodon canastrensis"
"EN","Diplusodon capitalensis"
"CR","Diplusodon capitatus"
"DD","Diplusodon chapadensis"
"EN","Diplusodon decussatus"
"CR","Diplusodon ericoides"
"EN","Diplusodon floribundus"
"CR","Diplusodon glaziovii"
"EN","Diplusodon glocimarii"
"CR","Diplusodon gracilis"
"DD","Diplusodon grahamae"
"VU","Diplusodon hatschbachii"
"EN","Diplusodon heringeri"
"DD","Diplusodon kielmeyeroides"
"VU","Diplusodon leucocalycinus"
"EN","Diplusodon longipes"
"EN","Diplusodon mattogrossensis"
"EN","Diplusodon minasensis"
"DD","Diplusodon mononeuros"
"DD","Diplusodon nigricans"
"VU","Diplusodon orbicularis"
"EN","Diplusodon ovatus"
"CR","Diplusodon panniculatus"
"NT","Diplusodon parvifolius"
"EN","Diplusodon petiolatus"
"EN","Diplusodon plumbeus"
"DD","Diplusodon pygmaeus"
"CR","Diplusodon retroimbricatus"
"LC","Diplusodon rosmarinifolius"
"EN","Diplusodon rotundifolius"
"DD","Diplusodon saxatilis"
"EN","Diplusodon sigillatus"
"EN","Diplusodon sordidus"
"DD","Diplusodon thysanosepalus"
"EN","Diplusodon trigintus"
"DD","Diplusodon vidalii"
"VU","Diplusodon villosissimus"
"LC","Dipteryx alata"
"VU","Discaria americana"
"DD","Disciphania hernandia"
"VU","Discocactus bahiensis"
"VU","Discocactus catingicola"
"DD","Discocactus ferricola"
"DD","Discocactus heptacanthus"
"CR","Discocactus horstii"
"NT","Discocactus placentiformis"
"CR","Discocactus pseudoinsignis"
"VU","Discocactus zehntneri"
"DD","Discolobium psoraleifolium"
"DD","Disteganthus basilateralis"
"LC","Distimake aturensis"
"EN","Distimake repens"
"EN","Disynaphia ericoides"
"EN","Disynaphia praeficta"
"EN","Disynaphia variolata"
"LC","Ditassa aequicymosa"
"EN","Ditassa arianeae"
"CR","Ditassa auriflora"
"EN","Ditassa cipoensis"
"EN","Ditassa cordeiroana"
"DD","Ditassa emmerichii"
"EN","Ditassa insignis"
"EN","Ditassa itambensis"
"EN","Ditassa laevis"
"VU","Ditassa leonii"
"NT","Ditassa linearis"
"EN","Ditassa longisepala"
"EN","Ditassa maricaensis"
"EN","Ditassa oberdanii"
"EN","Ditassa obscura"
"LC","Doliocarpus glomeratus"
"EN","Doliocarpus lancifolius"
"DD","Dorstenia alberti"
"LC","Dorstenia arifolia"
"LC","Dorstenia bonijesu"
"LC","Dorstenia brasiliensis"
"LC","Dorstenia cayapia"
"EN","Dorstenia conceptionis"
"VU","Dorstenia contensis"
"LC","Dorstenia elata"
"DD","Dorstenia fischeri"
"NT","Dorstenia gracilis"
"CR","Dorstenia hildegardis"
"LC","Dorstenia milaneziana"
"CR","Dorstenia strangii"
"DD","Dorstenia sucrei"
"LC","Dorstenia tenuis"
"VU","Doryopteris rediviva"
"EN","Doryopteris trilobata"
"LC","Dracontioides desciscens"
"EN","Drepanolejeunea aculeata"
"LC","Drimys angustifolia"
"LC","Drimys brasiliensis"
"EN","Drosera graomogolensis"
"CR","Dryadella auriculigera"
"DD","Dryadella gomes-ferreirae"
"DD","Dryadella kautskyi"
"VU","Dryadella lilliputiana"
"CR","Dryadella susanae"
"LC","Drymonia serrulata"
"LC","Duguetia furfuracea"
"LC","Duguetia glabriuscula"
"LC","Duguetia lanceolata"
"EN","Duguetia magnolioidea"
"CR","Duguetia restingae"
"EN","Duguetia reticulata"
"DD","Duguetia rotundifolia"
"LC","Duguetia salicifolia"
"CR","Duguetia scottmorii"
"EN","Duguetia sooretamae"
"DD","Dyckia ×elisabethae"
"CR","Dyckia agudensis"
"DD","Dyckia alba"
"EN","Dyckia argentea"
"EN","Dyckia brachyphylla"
"LC","Dyckia bracteata"
"DD","Dyckia brevifolia"
"DD","Dyckia choristaminea"
"CR","Dyckia delicata"
"DD","Dyckia densiflora"
"CR","Dyckia distachya"
"DD","Dyckia elongata"
"NT","Dyckia encholirioides"
"EN","Dyckia fosteriana"
"CR","Dyckia hatschbachii"
"EN","Dyckia ibiramensis"
"DD","Dyckia irmgardiae"
"EN","Dyckia maritima"
"DD","Dyckia mellobarretoi"
"LC","Dyckia minarum"
"CR","Dyckia monticola"
"EN","Dyckia pectinata"
"DD","Dyckia polycladus"
"EN","Dyckia rariflora"
"EN","Dyckia reitzii"
"EN","Dyckia remotiflora"
"DD","Dyckia retroflexa"
"DD","Dyckia rigida"
"CR","Dyckia ursina"
"EN","Dyschoriste lavandulacea"
"CR","Dyschoriste smithii"
"LC","Dyssochroma longipes"
"LC","Dyssochroma viridiflorum"
"DD","Ecclinusa bullata"
"DD","Ecclinusa lancifolia"
"EN","Echinocoryne echinocephala"
"LC","Echinodorus lanceolatus"
"LC","Echinodorus paniculatus"
"CR","Echinopsis calochlora"
"EN","Echinopsis oxygona"
"LC","Edmundoa lindenii"
"EN","Eduandrea selloana"
"LC","Egletes viscosa"
"DD","Elachyptera coriacea"
"LC","Elachyptera festiva"
"LC","Elachyptera micrantha"
"VU","Elaphoglossum acrocarpum"
"CR","Elaphoglossum beckeri"
"LC","Elaphoglossum edwallii"
"LC","Elaphoglossum gayanum"
"DD","Elaphoglossum herminieri"
"LC","Elaphoglossum iguapense"
"NT","Elaphoglossum itatiayense"
"LC","Elaphoglossum langsdorffii"
"LC","Elaphoglossum macahense"
"LC","Elaphoglossum nigrescens"
"NT","Elaphoglossum pachydermum"
"NT","Elaphoglossum paulistanum"
"LC","Elaphoglossum prestonii"
"LC","Elaphoglossum pteropus"
"EN","Elaphoglossum scolopendrifolium"
"LC","Elaphoglossum strictum"
"LC","Elaphoglossum tectum"
"LC","Eleocharis bonariensis"
"LC","Eleocharis loefgreniana"
"EN","Eleocharis morroi"
"EN","Eleocharis olivaceonux"
"LC","Eleocharis plicarhachis"
"DD","Eleocharis stenocarpa"
"DD","Eleocharis urceolata"
"LC","Elephantopus riparius"
"LC","Elleanthus linifolius"
"LC","Eltroplectris calcarata"
"DD","Eltroplectris kuhlmanniana"
"CR","Encholirium biflorum"
"CR","Encholirium disjunctum"
"DD","Encholirium fragae"
"EN","Encholirium gracile"
"EN","Encholirium heloisae"
"EN","Encholirium horridum"
"CR","Encholirium irwinii"
"CR","Encholirium kranzianum"
"CR","Encholirium longiflorum"
"EN","Encholirium luxor"
"CR","Encholirium pedicellatum"
"DD","Encholirium reflexum"
"EN","Encholirium scrutor"
"EN","Encholirium splendidum"
"CR","Encholirium vogelii"
"LC","Encyclia advena"
"LC","Encyclia argentinensis"
"EN","Encyclia bragancae"
"DD","Encyclia fowliei"
"LC","Enydra anagallis"
"VU","Epidendrum addae"
